date_time,close
0,2017-11-17 15:35:17,98.1200
1,2017-11-17 15:40:04,98.1800
2,2017-11-17 15:45:01,97.7307
3,2017-11-17 15:50:55,97.7400
4,2017-11-17 15:55:00,97.8150
5,2017-11-17 16:00:30,98.0200
6,2017-11-17 16:05:07,97.8000
7,2017-11-17 16:10:08,97.8400
8,2017-11-17 16:15:11,97.7100
9,2017-11-17 16:20:29,97.7600
10,2017-11-17 16:25:25,97.8200
11,2017-11-17 16:30:53,97.9500
12,2017-11-17 16:35:11,97.9900
13,2017-11-17 16:40:44,98.0600
14,2017-11-17 16:45:52,98.0500
15,2017-11-17 16:50:37,98.1101
16,2017-11-17 16:55:02,98.1800
